country,index
Austria,-1.062253809972031
Belgium,-0.6688264363019419
Bulgaria,2.5628505023861514
Croatia,1.2472442648583086
Czech Republic,-0.16420469306211952
Denmark,-0.9379856069854958
Estonia,2.442907483844342
Finland,-0.20675943129634833
Germany,-0.5817089217532596
Greece,0.9824271346103741
Hungary,1.3717256753274192
Iceland,-1.5551776418849
Ireland,-1.7763334753362017
Italy,-0.8378446327473092
Latvia,2.264507212479366
Lithuania,1.5025265075276932
Luxembourg,-3.415763040901003
Netherlands,-1.8069069295386868
Norway,-2.0685505999322475
Poland,1.4452643584599814
Portugal,0.5169990229524379
Slovakia,0.7688535647404843
Slovenia,0.06631017805485938
Spain,-0.16080431616738888
Sweden,-0.869140205789715
Switzerland,-3.2224707775644297
Ukraine,4.497787249175377
United Kingdom,-0.3346726351837026
