country,index
Austria,1.0622622915223092
Belgium,0.6688265446320261
Bulgaria,-2.5628484087875028
Croatia,-1.247262808251703
Czech Republic,0.16420263225404935
Denmark,0.9379845021886819
Estonia,-2.442902242000437
Finland,0.20676209610759128
Germany,0.5817146187271516
Greece,-0.982459284019581
Hungary,-1.3717231904762461
Iceland,1.5551889792144347
Ireland,1.7763229442349224
Italy,0.8378419368356818
Latvia,-2.264496333059964
Lithuania,-1.5025216701357205
Luxembourg,3.415762182880715
Netherlands,1.806899802599504
Norway,2.0685473593882144
Poland,-1.4452581787571637
Portugal,-0.5170088138330143
Slovakia,-0.768851277011403
Slovenia,-0.06632205158731519
Spain,0.16080047173339151
Sweden,0.8691471033072358
Switzerland,3.222459206403029
Ukraine,-4.4977375051883755
United Kingdom,0.3346690910794749
