country,index
Austria,1.0622625877237624
Belgium,0.6688240743468279
Bulgaria,-2.562850440432298
Croatia,-1.2472712775648358
Czech Republic,0.16419813668752514
Denmark,0.9379819618983034
Estonia,-2.4429069485389565
Finland,0.20676916011536475
Germany,0.5817220028294708
Greece,-0.9824610940519503
Hungary,-1.3717266531674739
Iceland,1.555188547044281
Ireland,1.7763178802236523
Italy,0.8378474043715571
Latvia,-2.264502322548579
Lithuania,-1.502528411483159
Luxembourg,3.4157615541389625
Netherlands,1.8068985317540527
Norway,2.068554948556331
Poland,-1.4452546811007678
Portugal,-0.517011617211142
Slovakia,-0.7688571825166253
Slovenia,-0.06632931848615962
Spain,0.1608060895537189
Sweden,0.8691577216028664
Switzerland,3.2224562185925274
Ukraine,-4.4977221745475
United Kingdom,0.33467530221023156
